target_lambda2,target_region,run_index,seed,num_parameters,preliminary_loss,preliminary_optimizer_success,preliminary_status,preliminary_message,preliminary_nit,preliminary_nfev,preliminary_njev,refined,refinement_loss,refinement_optimizer_success,refinement_status,refinement_message,refinement_nit,refinement_nfev,refinement_njev,final_total_loss,scientific_success,total_nit,total_nfev,total_njev,final_gradient_inf_norm,wall_time_s
1,upper_boundary,9,2026074209,274,1.1918944602796823e-08,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,96,103,103,True,1.7399380730281568e-15,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2614,2810,2810,1.7399380730281568e-15,True,2710,2913,2913,5.8414838656594731e-11,18.4686115
1,upper_boundary,15,2026074215,274,1.0658862647365084e-07,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,96,100,100,True,1.1123330243526035e-13,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,981,1016,1016,1.1123330243526035e-13,True,1077,1116,1116,1.249612540406213e-11,7.21089763
1,upper_boundary,18,2026074218,274,1.0383660326825954e-07,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,75,79,79,True,3.4612247990017965e-16,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1235,1307,1307,3.4612247990017965e-16,True,1310,1386,1386,4.2602154578804835e-12,7.72594879
1,upper_boundary,19,2026074219,274,1.1733842706326553e-07,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,111,115,115,True,3.7010230295144596e-17,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1092,1122,1122,3.7010230295144596e-17,True,1203,1237,1237,4.3700159922461179e-11,6.75842479
1,upper_boundary,14,2026074214,274,1.6092666736875596e-07,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,147,154,154,True,5.8644461927688173e-15,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2614,2707,2707,5.8644461927688173e-15,True,2761,2861,2861,7.3159305188761261e-12,17.9326883
1,upper_boundary,22,2026074222,274,0.15673867921564688,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,106,109,109,False,,,,,0,0,0,0.15673867921564688,False,106,109,109,9.4815131311491024e-06,0.6199115
1,upper_boundary,23,2026074223,274,1.118528059462283e-07,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,91,101,101,True,2.2342188481018471e-18,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,691,781,781,2.2342188481018471e-18,True,782,882,882,1.4809303465184798e-10,5.38122379
1,upper_boundary,17,2026074217,274,3.5351492758283429e-07,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,97,101,101,True,3.5483276321115367e-15,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3346,3458,3458,3.5483276321115367e-15,True,3443,3559,3559,1.3410428884830161e-11,21.7421471
1,upper_boundary,21,2026074221,274,7.611790189263863e-07,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,96,102,102,True,1.4542441811725291e-15,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1437,1646,1646,1.4542441811725291e-15,True,1533,1748,1748,9.0121429590733244e-11,10.6099594
1,upper_boundary,24,2026074224,274,9.6400888184522575e-08,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,63,68,68,True,1.1415740334675501e-17,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1627,1778,1778,1.1415740334675501e-17,True,1690,1846,1846,2.7110287889871948e-11,9.37069704
